day,ntweets
2019-06-01,13
2019-06-02,25
2019-06-03,23
2019-06-04,19
2019-06-05,17
2019-06-06,23
2019-06-07,18
2019-06-08,26
2019-06-09,30
2019-06-10,18
2019-06-11,19
2019-06-12,17
2019-06-13,17
2019-06-14,25
2019-06-15,25
2019-06-16,25
2019-06-17,38
2019-06-18,30
2019-06-19,23
2019-06-20,27
2019-06-21,25
2019-06-22,21
2019-06-23,32
2019-06-24,21
2019-06-25,23
2019-06-26,21
2019-06-27,19
2019-06-28,15
2019-06-29,20
2019-06-30,23
2019-07-01,28
2019-07-02,20
2019-07-03,19
2019-07-04,24
2019-07-05,15
2019-07-06,18
2019-07-07,13
2019-07-08,13
2019-07-09,26
2019-07-10,19
2019-07-11,19
2019-07-12,18
2019-07-13,22
2019-07-14,27
2019-07-15,30
2019-07-16,28
2019-07-17,19
2019-07-18,19
2019-07-19,17
2019-07-20,21
2019-07-21,28
2019-07-22,17
2019-07-23,24
2019-07-24,14
2019-07-25,25
2019-07-26,18
2019-07-27,17
2019-07-28,21
2019-07-29,17
2019-07-30,30
2019-07-31,24
2019-08-01,27
2019-08-02,31
2019-08-03,29
2019-08-04,29
2019-08-05,35
2019-08-06,24
2019-08-07,19
2019-08-08,22
2019-08-09,21
2019-08-10,30
2019-08-11,20
2019-08-12,31
2019-08-13,17
2019-08-14,24
2019-08-15,25
2019-08-16,25
2019-08-17,24
2019-08-18,31
2019-08-19,18
2019-08-20,28
2019-08-21,23
2019-08-22,38
2019-08-23,21
2019-08-24,22
2019-08-25,23
2019-08-26,26
2019-08-27,32
2019-08-28,32
2019-08-29,24
2019-08-30,35
2019-08-31,35
2019-09-01,27
2019-09-02,33
2019-09-03,32
2019-09-04,29
2019-09-05,30
2019-09-06,31
2019-09-07,29
2019-09-08,35
2019-09-09,44
2019-09-10,27
2019-09-11,27
2019-09-12,32
2019-09-13,32
2019-09-14,38
2019-09-15,29
2019-09-16,33
2019-09-17,22
2019-09-18,27
2019-09-19,29
2019-09-20,23
2019-09-21,33
2019-09-22,25
2019-09-23,30
2019-09-24,25
2019-09-25,28
2019-09-26,30
2019-09-27,28
2019-09-28,23
2019-09-29,24
2019-09-30,39
2019-10-01,34
2019-10-02,28
2019-10-03,26
2019-10-04,30
2019-10-05,27
2019-10-06,30
2019-10-07,23
2019-10-08,34
2019-10-09,32
2019-10-10,37
2019-10-11,30
2019-10-12,27
2019-10-13,26
2019-10-14,26
2019-10-15,29
2019-10-16,33
2019-10-17,35
2019-10-18,42
2019-10-19,24
2019-10-20,21
2019-10-21,19
2019-10-22,30
2019-10-23,35
2019-10-24,21
2019-10-25,30
2019-10-26,20
2019-10-27,24
2019-10-28,25
2019-10-29,24
2019-10-30,26
2019-10-31,13
2019-11-01,25
2019-11-02,27
2019-11-03,18
2019-11-04,24
2019-11-05,20
2019-11-06,24
2019-11-07,24
2019-11-08,11
2019-11-09,34
2019-11-10,23
2019-11-11,20
2019-11-12,23
2019-11-13,24
2019-11-14,26
2019-11-15,19
2019-11-16,18
2019-11-17,23
2019-11-18,23
2019-11-19,24
2019-11-20,26
2019-11-21,22
2019-11-22,17
2019-11-23,21
2019-11-24,22
2019-11-25,28
2019-11-26,15
2019-11-27,24
2019-11-28,19
2019-11-29,11
2019-11-30,22
2019-12-01,30
2019-12-02,27
2019-12-03,21
2019-12-04,20
2019-12-05,20
2019-12-06,18
2019-12-07,26
2019-12-08,24
2019-12-09,25
2019-12-10,18
2019-12-11,21
2019-12-12,14
2019-12-13,21
2019-12-14,29
2019-12-15,25
2019-12-16,20
2019-12-17,24
2019-12-18,25
2019-12-19,14
2019-12-20,27
2019-12-21,22
2019-12-22,22
2019-12-23,21
2019-12-24,21
2019-12-25,48
2019-12-26,25
2019-12-27,21
2019-12-28,24
2019-12-29,29
2019-12-30,25
2019-12-31,28
2020-01-01,26
2020-01-02,28
2020-01-03,20
2020-01-04,21
2020-01-05,28
2020-01-06,18
2020-01-07,19
2020-01-08,29
2020-01-09,21
2020-01-10,22
2020-01-11,21
2020-01-12,26
2020-01-13,21
2020-01-14,25
2020-01-15,23
2020-01-16,35
2020-01-17,24
2020-01-18,32
2020-01-19,26
2020-01-20,27
2020-01-21,21
2020-01-22,20
2020-01-23,21
2020-01-24,23
2020-01-25,16
2020-01-26,23
2020-01-27,20
2020-01-28,20
2020-01-29,18
2020-01-30,23
2020-01-31,28
2020-02-01,21
2020-02-02,21
2020-02-03,38
2020-02-04,28
2020-02-05,26
2020-02-06,22
2020-02-07,24
2020-02-08,23
2020-02-09,32
2020-02-10,28
2020-02-11,35
2020-02-12,20
2020-02-13,38
2020-02-14,68
2020-02-15,29
2020-02-16,20
2020-02-17,22
2020-02-18,24
2020-02-19,23
2020-02-20,15
2020-02-21,22
2020-02-22,22
2020-02-23,28
2020-02-24,22
2020-02-25,25
2020-02-26,23
2020-02-27,10
2020-02-28,20
2020-02-29,25
2020-03-01,23
2020-03-02,20
2020-03-03,30
2020-03-04,26
2020-03-05,22
2020-03-06,28
2020-03-07,15
2020-03-08,19
2020-03-09,21
2020-03-10,13
2020-03-11,28
2020-03-12,23
2020-03-13,28
2020-03-14,27
2020-03-15,29
2020-03-16,37
2020-03-17,35
2020-03-18,52
2020-03-19,46
2020-03-20,36
2020-03-21,41
2020-03-22,45
2020-03-23,52
2020-03-24,58
2020-03-25,50
2020-03-26,63
2020-03-27,53
2020-03-28,55
2020-03-29,49
2020-03-30,52
2020-03-31,56
2020-04-01,42
2020-04-02,31
2020-04-03,37
2020-04-04,33
2020-04-05,50
2020-04-06,38
2020-04-07,23
2020-04-08,41
2020-04-09,46
2020-04-10,33
2020-04-11,35
2020-04-12,40
2020-04-13,36
2020-04-14,42
2020-04-15,34
2020-04-16,41
2020-04-17,36
2020-04-18,31
2020-04-19,24
2020-04-20,34
2020-04-21,34
2020-04-22,28
2020-04-23,24
2020-04-24,38
2020-04-25,37
2020-04-26,24
2020-04-27,37
2020-04-28,30
2020-04-29,25
2020-04-30,26
2020-05-01,37
2020-05-02,33
2020-05-03,32
2020-05-04,22
2020-05-05,20
2020-05-06,22
2020-05-07,24
2020-05-08,35
2020-05-09,30
2020-05-10,31
2020-05-11,36
2020-05-12,33
2020-05-13,30
2020-05-14,27
2020-05-15,32
2020-05-16,40
2020-05-17,20
2020-05-18,24
2020-05-19,23
2020-05-20,31
2020-05-21,31
2020-05-22,22
2020-05-23,28
2020-05-24,38
2020-05-25,24
2020-05-26,22
2020-05-27,27
2020-05-28,22
2020-05-29,20
2020-05-30,19
2020-05-31,16
2020-06-01,12
2020-06-02,17
2020-06-03,13
2020-06-04,32
2020-06-05,18
2020-06-06,27
2020-06-07,26
2020-06-08,27
2020-06-09,25
2020-06-10,35
2020-06-11,30
2020-06-12,29
2020-06-13,28
2020-06-14,27
2020-06-15,32
2020-06-16,23
2020-06-17,17
2020-06-18,21
2020-06-19,25
2020-06-20,28
2020-06-21,20
2020-06-22,23
2020-06-23,33
2020-06-24,18
2020-06-25,20
2020-06-26,40
2020-06-27,26
2020-06-28,38
2020-06-29,24
2020-06-30,18
2020-07-01,30
2020-07-02,26
2020-07-03,30
2020-07-04,36
2020-07-05,29
2020-07-06,36
2020-07-07,18
2020-07-08,28
2020-07-09,20
2020-07-10,34
2020-07-11,28
2020-07-12,25
2020-07-13,34
2020-07-14,25
2020-07-15,34
2020-07-16,20
2020-07-17,24
2020-07-18,24
2020-07-19,22
2020-07-20,22
2020-07-21,36
2020-07-22,24
2020-07-23,20
2020-07-24,24
2020-07-25,32
2020-07-26,24
2020-07-27,25
2020-07-28,19
2020-07-29,24
2020-07-30,26
2020-07-31,28
2020-08-01,33
2020-08-02,22
2020-08-03,23
2020-08-04,19
2020-08-05,20
2020-08-06,18
2020-08-07,18
2020-08-08,22
2020-08-09,21
2020-08-10,19
2020-08-11,28
2020-08-12,16
2020-08-13,24
2020-08-14,29
2020-08-15,22
2020-08-16,15
2020-08-17,19
2020-08-18,21
2020-08-19,29
2020-08-20,23
2020-08-21,25
2020-08-22,24
2020-08-23,29
2020-08-24,16
2020-08-25,15
2020-08-26,29
2020-08-27,18
2020-08-28,29
2020-08-29,21
2020-08-30,23
2020-08-31,23
2020-09-01,20
2020-09-02,23
2020-09-03,32
2020-09-04,28
2020-09-05,19
2020-09-06,25
2020-09-07,31
2020-09-08,31
2020-09-09,22
2020-09-10,22
2020-09-11,18
2020-09-12,25
2020-09-13,29
2020-09-14,27
2020-09-15,23
2020-09-16,30
2020-09-17,27
2020-09-18,21
2020-09-19,27
2020-09-20,22
2020-09-21,26
