day,ntweets
2019-06-01,43
2019-06-02,43
2019-06-03,61
2019-06-04,54
2019-06-05,63
2019-06-06,35
2019-06-07,37
2019-06-08,30
2019-06-09,39
2019-06-10,55
2019-06-11,48
2019-06-12,47
2019-06-13,64
2019-06-14,56
2019-06-15,14
2019-06-16,23
2019-06-17,42
2019-06-18,52
2019-06-19,45
2019-06-20,45
2019-06-21,41
2019-06-22,26
2019-06-23,35
2019-06-24,50
2019-06-25,43
2019-06-26,39
2019-06-27,38
2019-06-28,36
2019-06-29,26
2019-06-30,24
2019-07-01,46
2019-07-02,102
2019-07-03,55
2019-07-04,47
2019-07-05,41
2019-07-06,37
2019-07-07,32
2019-07-08,38
2019-07-09,48
2019-07-10,41
2019-07-11,44
2019-07-12,56
2019-07-13,40
2019-07-14,103
2019-07-15,51
2019-07-16,38
2019-07-17,42
2019-07-18,40
2019-07-19,38
2019-07-20,35
2019-07-21,30
2019-07-22,40
2019-07-23,35
2019-07-24,31
2019-07-25,29
2019-07-26,29
2019-07-27,29
2019-07-28,27
2019-07-29,30
2019-07-30,33
2019-07-31,46
2019-08-01,52
2019-08-02,34
2019-08-03,32
2019-08-04,29
2019-08-05,37
2019-08-06,46
2019-08-07,35
2019-08-08,49
2019-08-09,38
2019-08-10,41
2019-08-11,37
2019-08-12,50
2019-08-13,39
2019-08-14,55
2019-08-15,54
2019-08-16,40
2019-08-17,37
2019-08-18,43
2019-08-19,42
2019-08-20,53
2019-08-21,53
2019-08-22,48
2019-08-23,51
2019-08-24,26
2019-08-25,34
2019-08-26,29
2019-08-27,41
2019-08-28,57
2019-08-29,47
2019-08-30,50
2019-08-31,37
2019-09-01,38
2019-09-02,58
2019-09-03,58
2019-09-04,39
2019-09-05,45
2019-09-06,37
2019-09-07,43
2019-09-08,35
2019-09-09,37
2019-09-10,48
2019-09-11,59
2019-09-12,42
2019-09-13,41
2019-09-14,38
2019-09-15,31
2019-09-16,48
2019-09-17,60
2019-09-18,54
2019-09-19,51
2019-09-20,51
2019-09-21,37
2019-09-22,59
2019-09-23,49
2019-09-24,58
2019-09-25,60
2019-09-26,48
2019-09-27,44
2019-09-28,34
2019-09-29,28
2019-09-30,44
2019-10-01,36
2019-10-02,49
2019-10-03,43
2019-10-04,36
2019-10-05,37
2019-10-06,34
2019-10-07,55
2019-10-08,47
2019-10-09,60
2019-10-10,62
2019-10-11,40
2019-10-12,44
2019-10-13,46
2019-10-14,47
2019-10-15,47
2019-10-16,44
2019-10-17,42
2019-10-18,45
2019-10-19,42
2019-10-20,43
2019-10-21,46
2019-10-22,42
2019-10-23,42
2019-10-24,49
2019-10-25,40
2019-10-26,35
2019-10-27,42
2019-10-28,55
2019-10-29,52
2019-10-30,49
2019-10-31,50
2019-11-01,63
2019-11-02,37
2019-11-03,34
2019-11-04,48
2019-11-05,32
2019-11-06,85
2019-11-07,61
2019-11-08,45
2019-11-09,24
2019-11-10,50
2019-11-11,57
2019-11-12,40
2019-11-13,50
2019-11-14,57
2019-11-15,44
2019-11-16,38
2019-11-17,43
2019-11-18,53
2019-11-19,44
2019-11-20,64
2019-11-21,39
2019-11-22,52
2019-11-23,36
2019-11-24,30
2019-11-25,65
2019-11-26,58
2019-11-27,61
2019-11-28,51
2019-11-29,40
2019-11-30,38
2019-12-01,42
2019-12-02,49
2019-12-03,60
2019-12-04,54
2019-12-05,62
2019-12-06,53
2019-12-07,28
2019-12-08,38
2019-12-09,55
2019-12-10,59
2019-12-11,64
2019-12-12,121
2019-12-13,59
2019-12-14,21
2019-12-15,26
2019-12-16,55
2019-12-17,49
2019-12-18,59
2019-12-19,45
2019-12-20,40
2019-12-21,28
2019-12-22,38
2019-12-23,32
2019-12-24,38
2019-12-25,29
2019-12-26,22
2019-12-27,21
2019-12-28,32
2019-12-29,39
2019-12-30,35
2019-12-31,28
2020-01-01,29
2020-01-02,37
2020-01-03,44
2020-01-04,32
2020-01-05,45
2020-01-06,42
2020-01-07,52
2020-01-08,44
2020-01-09,54
2020-01-10,56
2020-01-11,36
2020-01-12,40
2020-01-13,40
2020-01-14,44
2020-01-15,56
2020-01-16,52
2020-01-17,48
2020-01-18,38
2020-01-19,26
2020-01-20,46
2020-01-21,61
2020-01-22,69
2020-01-23,58
2020-01-24,62
2020-01-25,34
2020-01-26,37
2020-01-27,49
2020-01-28,50
2020-01-29,59
2020-01-30,57
2020-01-31,48
2020-02-01,32
2020-02-02,28
2020-02-03,55
2020-02-04,58
2020-02-05,59
2020-02-06,63
2020-02-07,36
2020-02-08,30
2020-02-09,43
2020-02-10,43
2020-02-11,43
2020-02-12,44
2020-02-13,41
2020-02-14,26
2020-02-15,39
2020-02-16,37
2020-02-17,38
2020-02-18,51
2020-02-19,67
2020-02-20,65
2020-02-21,54
2020-02-22,34
2020-02-23,43
2020-02-24,53
2020-02-25,60
2020-02-26,56
2020-02-27,54
2020-02-28,38
2020-02-29,28
2020-03-01,38
2020-03-02,44
2020-03-03,60
2020-03-04,57
2020-03-05,55
2020-03-06,40
2020-03-07,32
2020-03-08,30
2020-03-09,63
2020-03-10,50
2020-03-11,48
2020-03-12,89
2020-03-13,88
2020-03-14,69
2020-03-15,82
2020-03-16,157
2020-03-17,167
2020-03-18,157
2020-03-19,156
2020-03-20,127
2020-03-21,85
2020-03-22,100
2020-03-23,150
2020-03-24,112
2020-03-25,86
2020-03-26,92
2020-03-27,86
2020-03-28,59
2020-03-29,52
2020-03-30,76
2020-03-31,96
2020-04-01,62
2020-04-02,52
2020-04-03,54
2020-04-04,58
2020-04-05,52
2020-04-06,86
2020-04-07,69
2020-04-08,82
2020-04-09,55
2020-04-10,40
2020-04-11,37
2020-04-12,44
2020-04-13,40
2020-04-14,50
2020-04-15,47
2020-04-16,51
2020-04-17,56
2020-04-18,38
2020-04-19,39
2020-04-20,52
2020-04-21,51
2020-04-22,46
2020-04-23,48
2020-04-24,48
2020-04-25,40
2020-04-26,56
2020-04-27,58
2020-04-28,52
2020-04-29,54
2020-04-30,63
2020-05-01,57
2020-05-02,46
2020-05-03,33
2020-05-04,48
2020-05-05,45
2020-05-06,54
2020-05-07,56
2020-05-08,38
2020-05-09,50
2020-05-10,57
2020-05-11,69
2020-05-12,67
2020-05-13,56
2020-05-14,45
2020-05-15,42
2020-05-16,34
2020-05-17,35
2020-05-18,54
2020-05-19,58
2020-05-20,51
2020-05-21,46
2020-05-22,40
2020-05-23,32
2020-05-24,43
2020-05-25,35
2020-05-26,56
2020-05-27,35
2020-05-28,50
2020-05-29,43
2020-05-30,24
2020-05-31,36
2020-06-01,38
2020-06-02,22
2020-06-03,48
2020-06-04,33
2020-06-05,34
2020-06-06,18
2020-06-07,38
2020-06-08,44
2020-06-09,31
2020-06-10,45
2020-06-11,47
2020-06-12,54
2020-06-13,28
2020-06-14,37
2020-06-15,48
2020-06-16,49
2020-06-17,43
2020-06-18,40
2020-06-19,47
2020-06-20,34
2020-06-21,34
2020-06-22,60
2020-06-23,47
2020-06-24,30
2020-06-25,39
2020-06-26,29
2020-06-27,38
2020-06-28,32
2020-06-29,41
2020-06-30,45
2020-07-01,51
2020-07-02,55
2020-07-03,50
2020-07-04,40
2020-07-05,29
2020-07-06,54
2020-07-07,47
2020-07-08,47
2020-07-09,54
2020-07-10,44
2020-07-11,46
2020-07-12,28
2020-07-13,44
2020-07-14,52
2020-07-15,58
2020-07-16,51
2020-07-17,54
2020-07-18,35
2020-07-19,30
2020-07-20,40
2020-07-21,47
2020-07-22,78
2020-07-23,67
2020-07-24,51
2020-07-25,44
2020-07-26,42
2020-07-27,45
2020-07-28,43
2020-07-29,60
2020-07-30,50
2020-07-31,45
2020-08-01,44
2020-08-02,45
2020-08-03,56
2020-08-04,41
2020-08-05,51
2020-08-06,65
2020-08-07,49
2020-08-08,35
2020-08-09,26
2020-08-10,46
2020-08-11,60
2020-08-12,61
2020-08-13,59
2020-08-14,48
2020-08-15,31
2020-08-16,45
2020-08-17,48
2020-08-18,68
2020-08-19,55
2020-08-20,70
2020-08-21,47
2020-08-22,40
2020-08-23,34
2020-08-24,57
2020-08-25,34
2020-08-26,52
2020-08-27,66
2020-08-28,44
2020-08-29,41
2020-08-30,24
2020-08-31,44
2020-09-01,48
2020-09-02,55
2020-09-03,57
2020-09-04,49
2020-09-05,32
2020-09-06,46
2020-09-07,48
2020-09-08,71
